,From Highway #,To Location,Percentage Axle Weight
0,-Blackfalds (SH 597)100,-Bluesky100,
1,-Blackfalds (SH 597)100,-Canyon Creek100,
2,-Blackfalds (SH 597)100,-Carstairs (SH 581)100,
3,-Blackfalds (SH 597)100,-Colinton (SH 663)100,
4,-Blackfalds (SH 597)100,-Didsbury (SH 582)100,
5,-Blackfalds (SH 597)100,-Donnelly100,
6,-Blackfalds (SH 597)100,-Enilda100,
7,-Blackfalds (SH 597)100,-Faust100,
8,-Blackfalds (SH 597)100,-Granum (SH 519)100,
9,-Blackfalds (SH 597)100,-Joussard100,
10,-Blackfalds (SH 597)100,-Kinuso100,
11,-Blackfalds (SH 597)100,-Legal (SH 651)100,
12,-Blackfalds (SH 597)100,-Rochester (SH 661)100,
13,-Blackfalds (SH 597)100,-Vimy100,
14,-Blackfalds (SH 597)100,-Wembley100,
15,-Blackfalds (SH 597)100,-Whitelaw100,
16,-Blackfalds (SH 597)100,-Widewater100,
17,-Blackfalds (SH 597)100,-Woking (SH 677)100,
18,-Blackfalds (SH 597)100,3-Kipp100,
19,9-Beiseker100,-Craigmyle100,-Delia (SH 851)100
20,9-Beiseker100,-Irricana100,
21,9-Beiseker100,11-Benalto100,
22,9-Beiseker100,-Eckville (SH 766)100,-Leslieville (SH 761)100
23,9-Beiseker100,12-Tees100,
24,9-Beiseker100,-Cadogan100,-Gwynne100
25,9-Beiseker100,-Hughenden100,
26,9-Beiseker100,-Metiskow100,
27,9-Beiseker100,-Sedgewick100,
28,9-Beiseker100,14-Edgerton (SH 894)100,
29,9-Beiseker100,-Sherwood Park (SH 630)100,15-Minburn100
30,9-Beiseker100,-Ranfurly100,16-Evansburg100
31,9-Beiseker100,-Hinton/Jasper Airport100,-Islay (SH 893)100
32,9-Beiseker100,-Kitscoty (SH 897)100,
33,9-Beiseker100,17-Chauvin (SH 610)100,
34,20-Bluffton100,-Winfield100,21-Bashaw100
35,20-Bluffton100,-Carbon (SH 575)100,-Delburne100
36,20-Bluffton100,-Elnora100,
37,20-Bluffton100,-Hay Lakes100,
38,20-Bluffton100,-Huxley100,
39,20-Bluffton100,-Lousana100,
40,20-Bluffton100,-New Sarepta100,
41,20-Bluffton100,-Rockyford100,
42,20-Bluffton100,-Swalwell75,
43,20-Bluffton100,22-Rocky Rapids100,
44,23-Blackie (SH 799)100,-Carmangay100,-Nobleford (SH 519)100
45,23-Blackie (SH 799)100,27-Morrin100,
46,23-Blackie (SH 799)100,-Ashmont100,-Bellis100
47,23-Blackie (SH 799)100,-Bonnyville Beach100,
48,23-Blackie (SH 799)100,-Glendon (SH 882)100,
49,23-Blackie (SH 799)100,-Mallaig100,
50,23-Blackie (SH 799)100,-Radway100,
51,23-Blackie (SH 799)100,-Smoky Lake100,
52,23-Blackie (SH 799)100,-St. Edouard100,
53,23-Blackie (SH 799)100,-Vilna100,
54,23-Blackie (SH 799)100,-Warspite100,
55,23-Blackie (SH 799)100,-Waskatenau (SH 631)100,
56,23-Blackie (SH 799)100,32-Peers100,
57,35-Dixonville (SH 689)100,-High Level Airport100,36-Alliance (SH 602)100
58,35-Dixonville (SH 689)100,-Galahad100,-Kikino100
59,35-Dixonville (SH 689)100,-Scandia100,
60,35-Dixonville (SH 689)100,39-Thorsby (SH 778)100,
61,41-Acadia Valley100,-Czar100,-Empress100
62,41-Acadia Valley100,-Hilda100,
63,41-Acadia Valley100,-New Brigden100,
64,41-Acadia Valley100,-Schuler100,
65,41-Acadia Valley100,43-Blue Ridge (SH 658)100,
66,41-Acadia Valley100,-Onoway100,-Rochfort Bridge100
67,41-Acadia Valley100,44-Dapp (SH 661)100,
68,41-Acadia Valley100,-Fawcett100,-Jarvie100
69,41-Acadia Valley100,-Pibroch100,
70,41-Acadia Valley100,-Andrew (SH 855)100,
71,41-Acadia Valley100,-Clandonald100,
72,41-Acadia Valley100,-Derwent100,
73,41-Acadia Valley100,-Dewberry100,
74,41-Acadia Valley100,-Hairy Hill100,
75,41-Acadia Valley100,47-Robb100,
76,49-Eaglesham (SH 739)100,-Girouxville (SH 744)100,-Spirit River100
77,49-Eaglesham (SH 739)100,-Tangent (SH 740)100,
78,49-Eaglesham (SH 739)100,53-Alberta Hospital100,
79,55-Plamondon (SH 858)100,-Rich Lake100,56-Big Valley (SH 661)100
80,55-Plamondon (SH 858)100,-Rowley100,61-Wrentham100
81,63-Boyle100,-Newbrook (SH 661)100,69-Fort McMurray Airport100
